No.,NAMA PERUSAHAAN,ALAMAT PERUSAHAAN,TK PRIA,TK WANITA,TOTAL TK,JENIS USAHA
1,PDAM Kota Malang,Jl. Ters. D. Sentani 100,295,98,393,Air
2,Perum Jasa Tirta 1,Jl. Surabaya 2A,106,36,142,Air
3,"Sang Hyang Sri, PT.",Jl. Ciliwung 25,23,9,32,Perdagangan/ Pertanian
4,"Tiara Persada Raya, PT.",Jl. Raya Dieng 3 Kav. 5,9,8,17,Angkutan
5,"Pelita Mas, PO.",Jl. S. Supriyadi 25,4,4,8,Angkutan/ Otobus
6,"Gunung Harta, PO.",Jl. Pattimura 45,8,3,11,Angkutan/ PO
7,"Medali Mas, PO.",Jl. Pasar Besar 149 Garasi Jl. Taman Tenaga Baru IV/9,19,2,21,Angkutan/ PO
8,"Puspa Indah, PO.",Jl. Tlogomas 1,56,5,61,Angkutan/ PO
9,"Restu Mulya, PO.",Jl. Dr. Cipto 452,3,0,3,Angkutan/ PO
10,"Mandala Satata Gama, PT.",Jl. Simp. Panji Suroso 18,19,2,21,Angkutan/ Taxi
11,PT. Bringin Dirgantara,Jl. Sumbing No. 28,73,4,77,Angkutan
12,Ekspres,Jl. Cidanau No.35,102,2,104,Angkutan
13,"Pancanaka Swasakti Utama, PT.",Jl. Mahakam 8,296,84,380,Bangunan
14,"PP(Persero) Tbk, PT",Jl.Soekarno Hatta 9,30,4,34,Bangunan
15,"Kharisma Hasta Buana/ Gajahmada Plaza, PT.",Jl. K. H. Agussalim 48,65,5,70,Bangunan Gedung
16,"Anugerah Citra Abadi, PT.",Jl. Jagung Suprapto 37,35,5,40,Bangunan/ Konstruksi
17,"Buana Karya Adi Mandiri, PT.",Jl. Raya Permata Jingga I/1,43,5,48,Bangunan/ Konstruksi
18,"Citra Mandiri Cipta, PT.",Jl. RP. Suroso,91,0,91,Bangunan/ Konstruksi
19,"Sumber Kencana Perkasa, PT.",Jl. Semeru 52,20,14,34,Bangunan/ Konstruksi
20,"Anindo Bertahanuts Perkasa, PT.",Jl. Danau Toba B-19,18,3,21,Bangunan/ Kontraktor
21,"Araya Bumi Megah, PT.",Jl. Blimbing Indah Megah No. 1,154,32,186,Bangunan/ Kontraktor
22,"Ayodya Jaya, PT.",Jl. Lahor 5,24,4,28,Bangunan/ Kontraktor
23,"Bukit Dieng Permai, PT",Jl. Bukit Dieng 3,4,1,5,Bangunan/ Kontraktor
24,"Ciptojoyo Kawentar, PT.",Jl. Soekarno Hatta Blok 8,368,21,389,Bangunan/ Kontraktor
25,"Citra Gading Asritama, PT.",Jl. Soekarno Hatta,139,0,139,Bangunan/ Kontraktor
26,"Duta Perkasa Unggul Lestari, PT.",Jl. Langsep,0,0,0,Bangunan/ Kontraktor
27,"Ekaargo Kencana Perkasa, PT.",Jl. Semeru 52,57,10,67,Bangunan/ Kontraktor
28,PAM Sari Jaya,Jl. A. Yani,16,18,34,Bangunan/ Kontraktor
29,A. Surya Sejahtera Abadi,Jl. M. Sungkono RT 2 RW 2,3,72,75,3/Industri/ Perusahaan Rokok
30,"Artha Wewasakti Gemilang, PT.",Jl. A. Yani Utara 32,9,0,9,Industri
31,Bagio S,Jl. Talaud 3 (0341) 327973,3,4,7,Industri
32,Bell Elastik,Jl. Janti Barat 17,15,1,16,Industri
33,"Dinnura Inti Laksana Megah, PT.",Jl. Kebonsari VI/8,5,4,9,Industri
34,Gaya Baru Paperindo,Jl. Kolonel Sugiono 10A/08,97,30,127,Industri
35,Mie Kudus,Jl. Bondowoso 11,4,10,14,Industri
36,Mount Scopus Indonesia.PT,Jl. Pahlawan Trip A-8 Malang,50,26,76,Industri
37,PS. Rejo agung,jl. tenaga utara 1,5,3,8,Industri
38,Rexton Indocuating,Jl. Karya Timur 64,21,3,24,Industri
39,Sima Timbangan,Jl. M. Panjaitan 159,20,0,20,Industri
40,"Sonokeling Tata Jaya, PT.",Jl. Sonokeling 10,7,1,8,Industri
41,Rajawali Jaya,Jl. Werkudoro 17,4,20,24,Industri Makanan
42,"Bronson Prima Industri, PT.",Jl. Tenaga 8,65,108,173,Industri Makanan/ Permen
43,"Kemajuan Industrindo, PT.",Jl. Ciujung 3-5,25,0,25,Industri Mesin
44,"Kemajuan Industrindo, PT.",Jl. Irian Jaya 17,28,0,28,Industri Mesin
45,"Lancar Jaya, CV.",Jl. Tenaga Baru IV/11,48,3,51,Industri Pengolahan
46,"Nitradi Wahyu Cemerlang , PT.",Jl. Simpang L. A. Sucipto 12,20,5,25,Industri Plastik
47,"Nitradi Wahyu Cemerlang, PT.",Jl. S. P. Sudarmo 33,44,2,46,Industri Plastik
48,Ronny Pranata Wangsawijaya,Jl. Tenaga 3,6,22,28,Industri Plastik
49,"Utama Nama, PT",Jl. Raya Bandulan Barat 47,34,52,86,Industri Rokok
50,"Utama Nama, PT",Jl. Raya Bandulan Barat 309,216,417,633,Industri Rokok
51,"Tenaga Baru, PT.",Jl. Simp. Tenaga Selatan 69,28,4,32,Industri/
52,"Wahana Plastindo, PT.",Jl. Tenaga 3,6,22,28,Industri/
53,Surya Asbes,Jl. Mulyosari 17,89,13,102,Industri/ Asbes
54,Lestari Biscuit,Jl. Tenaga 3,10,124,134,Industri/ Biscuit
55,"Madusari, UD.",Jl. Tenaga Utara 9,3,21,24,Industri/ Camilan
56,"Indana, PT./ Inti Daya Guna Aneka Warna",Jl. LA. Sucipto 456,70,32,102,Industri/ Cat
57,"Diamond Elastindo, PT.",Jl. Janti Barat 92,15,26,41,Industri/ Elastik
58,"Sarana Berkah Maju Bersama, PT.",Jl. M. Sungkono 36,7,10,17,Industri/ Filter Rokok
59,"Ayoni Tanjung, PT.",Jl. Terusan C. Mendut 16,36,29,65,Industri/ Garment
60,"Pantjamitra Ichigojaya, PT.",Jl. L. A. Sucipto 331,17,75,92,Industri/ Garment
61,Karet Tunggal Abadi,Jl. Simpang L. A. Sucipto,16,15,31,Industri/ Karet
62,Nasional Bhirawa Tama,Jl. Peltu Sujono 21,38,2,40,Industri/ Karet
63,"Bintang Terang , PT.",Jl. Tenaga Selatan 7,88,176,264,Industri/ Karung Plastik
64,"Usaha Loka Unit Kayu, PT.",Jl. Peltu Sujono 12,246,30,276,Industri/ Kayu
65,"Madukara, PT.",Jl. S. Supriadi 26,21,73,94,Industri/ Kembang gula
66,Supercup,Jl. Raya Bandulan III/1,3,20,23,Industri/ Kembang gula
67,Persh. Krupuk Superjaya,Jl. Kelapa Sawit 10/97,20,10,30,Industri/ Kerupuk
68,Mulia Jaya Knalpot,Jl. Janti Barat 25,87,18,105,Industri/ Knalpot
69,"Sumberurip Adi Knalpot, PT.",Jl. Muharto 129,66,5,71,Industri/ knalpot
70,Cipta Busana,Jl. Ronggowarsito 25,2,40,42,Industri/ Konveksi
71,early konveksi,Jl. Sartono SH 11,0,7,7,Industri/ Konveksi
72,Konveksi Boy,Jl. Kedungkandang VII/30,2,8,10,Industri/ Konveksi
73,Konveksi Wanly Trevi,Jl. Supriyadi 51,19,18,37,Industri/ Konveksi
74,Joy Collection,Jl. Ciliwung 47A,4,27,31,Industri/ Konveksi/Garment
75,Anda Jaya,Jl. Raya Bandulan 93,2,8,10,Industri/ Kue
76,Indratno Sunyoto,Jl. LA. Sucipto XX/20,10,20,30,Industri/ Kue
77,Kacang Bumbu,Jl. A. Yani 177/92,2,5,7,Industri/ Kue
78,Kue Koya Madusari,Jl. Zainal Arifin 11,1,7,8,Industri/ Kue
79,Ratna Cake,Jl. Yos Sudarso 1,5,7,12,Industri/ Kue
80,"Usaha Loka Unit Kulit, PT.",Jl. Susanto 8,107,6,113,Industri/ Kulit
81,Sumber Mas,Jl. Raya Bandulan 135,4,14,18,Industri/ Makanan Kecil
82,Golden Leaves Jaya Abadi,Jl. R. Madyopuro 21/33,38,112,150,Industri/ Makanan Ringan
83,Mie Jentayu,Jl. Bandulan IX/584,21,35,56,Industri/ Mie
84,"Balatif, PT.",Jl. Tenaga Tengah 5,37,30,67,Industri/ Obat
85,"Kebalen Timur, PT.",Jl. Kebalen Wetan 54,14,0,14,Industri/ Penyamaan Kulit
86,"Kasin, PT.",Jl. Peltu Sujono 25,63,6,69,Industri/ Penyamakan Kulit
87,"AA, PR.",Jl. M. Sungkono Gg. III,8,279,287,Industri/ Perusahaan Rokok
88,"AA, PR.",Jl. M. Sungkono I,29,11,40,Industri/ Perusahaan Rokok
89,"Anak Sakti, PR.",Jl. Satsui Tubun 27B,4,140,144,Industri/ Perusahaan Rokok
90,"Asia, PR.",Jl. Mulyosari 15,46,284,330,Industri/ Perusahaan Rokok
91,"Banju Biru, PT.",Jl. A. R. Hakim 2,23,237,260,Industri/ Perusahaan Rokok
92,"Banju Biru, PT.",Jl. A. Yani Utara 192-196,45,51,96,Industri/ Perusahaan Rokok
93,"Bentoel Prima, PT.",Jl. Niaga 2,22,1405,1427,Industri/ Perusahaan Rokok
94,"Berkah Tobacco Indonesia, PT.",Jl. Dr. Sutomo 14,85,9,94,Industri/ Perusahaan Rokok
95,"Bintang Bola Dunia, PT.",Jl. Peltu Sujono 9,11,118,129,Industri/ Perusahaan Rokok
96,"Djagung Padi Mas, PR.",Jl. Ki Ageng Gribig 316,81,264,345,Industri/ Perusahaan Rokok
97,"Gandum, PT",Jl. Mulyosari,616,2079,2695,Industri/ Perusahaan Rokok
98,"Gangsar, PT.",Jl. Raya Bandulan 83,19,137,156,Industri/ Perusahaan Rokok
99,"Gerbang Jaya Lestari, PT.",Jl. Raya Bandulan 202,128,782,910,Industri/ Perusahaan Rokok
100,"H. M. Sampoerna, Tbk, PT.",Jl. Letjend. S. Parman 44,98,6,104,Industri/ Perusahaan Rokok
101,"HM. Sampoerna, PT.",Jl. Industri Barat 2,56,4511,4567,Industri/ Perusahaan Rokok
102,Karya Laksa Mulyosari,Jl. Mulyosari RT. 5 RW. 1,19,0,19,Industri/ Perusahaan Rokok
103,"Karya Niaga Bersama, PT.",Jl. Terusan Batubara 27-29,351,543,894,Industri/ Perusahaan Rokok
104,"Karya Timur Prima, PT.",Jl. Karya Timur 19,5,24,29,Industri/ Perusahaan Rokok
105,"Lembang Jaya , PR.",Jl. Lembang 8,45,359,404,Industri/ Perusahaan Rokok
106,"Merapi Agung Lestari, PT.",Kel. Mulyorejo,260,41,301,Industri/ Perusahaan Rokok
107,Perajangan Tembakau,Jl. Mulyosari 6,14,6,20,Industri/ Perusahaan Rokok
108,"Sinar Mahkota Mas, PR.",Jl. Simpang Tenaga Selatan,20,0,20,Industri/ Perusahaan Rokok
109,Gunung Kawi Petis,Jl. Kyai Tamin 84,9,9,18,Industri/ Petis
110,"Adi bungsu, PR.",Jl. Ki Ageng Gribig 1,49,165,214,Industri/ Rokok
111,"Amiseta, PT.",Jl. Kol. Sugiono 572,15,596,611,Industri/ Rokok
112,"Bumi Asih, PR.",Jl. Kubis 12,0,25,25,Industri/ Rokok
113,"Dewi Fortuna, PR.",Jl. Kalianyar 22,6,36,42,Industri/ Rokok
114,"Lembang Jaya, PR.",Sumbersari Barat 48,33,1,34,Industri/ Rokok
115,"Lestari Putra Wirasejahtera, PT.",Jl. Terusan Halmahera 98-100,5,151,156,Industri/ Rokok
116,"Ongkowidjoyo, PT.",Jl. Kol. Sugiono 80/ 28,30,602,632,Industri/ Rokok
117,"Ongkowijoyo, PT.",Jl. Kol. Sugiono 136,39,1,40,Industri/ Rokok
118,"Ongkowijoyo, PT.",Jl. Raya Gadang 60,87,57,144,Industri/ Rokok
119,"Ongkowijoyo, PT.",Jl. Kol. Sugiono 61,12,0,12,Industri/ Rokok
120,"PD. Tresno, PT.",Jl. Sonokeling,0,0,0,Industri/ Rokok
121,"Sejahtera, CV.",Jl. M. Sungkono RT.3 RW.2,4,207,211,Industri/ Rokok
122,"Sejahtera, CV.",Jl. Ki Ageng Gribig 466,5,182,187,Industri/ Rokok
123,"Suburaman, PT.",Jl. Pulau Galang 2B,16,725,741,Industri/ Rokok
124,Surya Mustika Nusantara,Jl. Ciliwung 7-7A,38,3,41,Industri/ Rokok
125,"Tembakau Jayasakti Sari, PT.",Jl. Pattimura 50-54,106,115,221,Industri/ Rokok
126,"Abadi Kurnia Citra Rasa, PT.",Jl. Wilis 1,15,10,25,Industri/ Roti
127,Purimas 3 Roti Kue,Jl. Letjend. S. Parman 83,8,13,21,Industri/ Roti
128,Roti Bima,Jl. M. Panjaitan 75,7,9,16,Industri/ Roti
129,Roti Chatarina,Jl. Pattimura 22,4,14,18,Industri/ Roti
130,Roti Gaya Baru,Jl. Laks. Martadinata 83,4,26,30,Industri/ Roti
131,Roti Hawai,Jl. Basuki Rachmad 80B,3,3,6,Industri/ Roti
132,Persh. Sabun Pasific,Jl. Niaga 3,6,6,12,Industri/ Sabun
133,Saos Sumber Rasa,Jl. Simpang L. A. Sucipto 24,37,20,57,Industri/ Saos
134,"Indonesian Tobacco, PT.",Jl. Letjend. S. Parman 92,255,154,409,Industri/ Tembakau
135,CologneTissue Cool Clean,Jl. Raya Candi 5/754,18,95,113,Industri/ Tissu Basah
136,PT. Glass Talk,Jl. Tenaga Baru No. 1-5,34,14,48,Industri
137,PT. Surya Prastika Hutama,,23,10,33,Industri Makanan
138,PT. Gunawan Sukses Abadi,Jl. Teluk Etna XIV Kav. 172,1,2,3,Industri
139,"Andhika Jaya Security, PT.",Jl. Danau Bratan H1-Q36,7,2,9,Jasa
140,Bar and Pub Nusantara,Jl. sukarno Hatta Ruko Taman Niaga Blok B-9 Malang,5,2,7,Jasa
141,BLK-LN Anugerah Usaha Jaya,Jl. Teluk Pelabuhan Ratu 69,1,9,10,Jasa
142,"Bringin Karya Sejahtera, PT",Jl. Laks. Martadinata 80,14,3,17,Jasa
143,"Bringin Karya Sejahtera, PT",Jl. Ahmad Yani 106-107 Kepanjen,1,0,1,jasa
144,"Bringin Karya Sejahtera, PT",Jl. Bromo 31,2,0,2,Jasa
145,"Bringin Karya Sejahtera, PT",Jl. Letjen Sutoyo 105,3,0,3,Jasa
146,"Cipaganti Citra Graha, PT.",Jl. Bend. Sutami,3,6,9,Jasa
147,"Citra Indojaya Perkasa, PT.",Jl. Satsui Tubun 5B,94,14,108,Jasa
148,"Citra Lestari Utama, PT.",Jl. Peltu Sujono 9A,10,2,12,Jasa
149,"Dana Purna Investama, PT",Jl. Jendral Basuki Rahmad 70-74 Malang,18,2,20,Jasa
150,"De Dua Mapan Sejahtera, PT.",Autowash Autocare Jl. Raya Tidar 32B,33,3,36,Jasa
151,Dharmakerta Raharja,Jl. Teluk Pelabuhan Ratu 2/42,1,9,10,Jasa
152,"Era Sejahtera Nusantara, PT.",Jl. Baiduri Pandan 15,2,0,2,Jasa
153,Estetika Medika Utama (LBC) London Beaty Center,Jl. Kawi 39,3,16,19,Jasa
154,"Fiesta Ria Permai, CV",Jl. Terusan Borobudur 86/Kav. 6-8 Malang,25,10,35,Jasa
155,"Finansia Multi Finance, PT",Jl. S. Parman 54 A,58,23,81,Jasa
156,"Garda Utama Nasional, PT",Jl. B.S Riadi 107 Malang,252,1,253,Jasa
157,"Global Jaya Mulia, PT",Jl. Sebuku 65,12,2,14,Jasa
158,Grand Pesona Karaoke Pub&Resto,Jl. P. Sudirman Ruko Rampal Kav. 18-19,18,4,22,Jasa
159,"Groovy Masterindo, CV",Jl. Galunggung 6 Kav A-B,10,4,14,Jasa
160,"Hanaco Succes, PT.",Perum Green Living Jl. H. Muhidin 7A,3,3,6,Jasa
161,"Haryono Dian Perti, PT.",Jl. Kahuripan 22,3,7,10,Jasa
162,Ika Raya Sentosa,Jl. Raya Bandulan 314,13,13,26,Jasa
163,"Intrias Mandiri Sejati, PT",Jl. Terusan Borobudur 47G Malang,22,36,58,Jasa
164,"Jalin Mitra Persada, PT.",Jl. Danau Bratan Raya 1,52,4,56,Jasa
165,"Jasa Yasa, PD.",Jl. Basuki Rachmad 11,28,10,38,Jasa
166,"Jaya Manggala Gatha, PT.",Jl. Ciliwung II/30 B,0,0,0,Jasa
167,"Jolo Abadi, PT.",Jl. A. Yani 51 C,12,0,12,Jasa
168,Karaoke keluarga Diva by Rosa,"Jl. Tangkuban Perahu 7 kav 2,3&4",34,14,48,Jasa
169,"Kertagaya Pusaka, PT.",Jl. D. Toba B-28,22,2,24,Jasa
170,Kertanegara Premium Guest House,Jl. Semeru 59,10,9,19,Jasa
171,"Kharisma Sarana Jaya, PT.",Jl. Letjend. S. Parman 45,49,29,78,Jasa
172,Klinik Argaraya Medika,Jl. Kalpataru 39,11,17,28,Jasa
173,Klinik Karya Nusantara Medica,Jl. Maninjau Raya 33,6,8,14,Jasa
174,"Kopesera Engineering , PT.",Ruko Gadang Asri Kav. 7 Jl. Kol. Sugiono,163,2,165,Jasa
175,"Mahkota Citra Caturwira, PT",Jl. Letjend. Sutoyo 87,0,0,0,Jasa
176,"Malang Multimedia Mandiri, PT.",Jl. Soekarno Hatta Kav A2,14,1,15,Jasa
177,Megah Utama Kriya Nugraha.PT,Jl. Cakalang 5 A Malang,2,3,5,Jasa
178,"Mitra Andalan Sejati, PT.",Jl. Danau Limboto Blok A5 No. C24,3,37,40,Jasa
179,"Mitra Sinergi Sukses, PT.",Jl. M. Sungkono 77,7,21,28,Jasa
180,"Mobile Telecom, PT.",Jl. A. Yani 10A,5,7,12,Jasa
181,"Mutualplus Global Resources, PT",Jl.C Trowulan 1 Kav 2 dan 3,78,77,155,Jasa
182,"Navagreen Indonesia, PT",Jl. B.S Riadi 165A Malang,7,19,26,jasa
183,"Nayaka Kalyana, PT",Jl. Kol. Sugiono Ruko Gadang Regency Kav 3,1,2,3,Jasa
184,"Nusa Sirna Perkasa, PT.",Jl. Danau Limboto Timur 2 Blok A.5/H.23 Malang,2,2,4,Jasa
185,"Orientasari Mahkota, PT.",Jl. D. Sentani Raya C4E/27,0,0,0,Jasa
186,"Pahala Arie Santosa, PT.",Jl. Letjend. S. Parman 36,9,0,9,Jasa
187,"Pandemangan Semesta Lestari, PT.",Jl. Raya Arjowinangun 28,3,6,9,Jasa
188,"Panorama Argotirta, PT.",Jl. Puncak Mandala 36,13,12,25,Jasa
189,"Pegadaian (Persero), Cabang Sawojajar",Jl. Ki Ageng Gribig,5,3,8,Jasa
190,"Perdana Perkasa Elastindo, PT",Ruko Soekarno Hatta kav 07 No.02 Malang,288,5,293,Jasa
191,"Permodalan Nasional Mandiri (Perseroan), PT",Jl. S. P. Sudarmo 26 Malang,112,15,127,Jasa
192,"Persada Multi Abadi, PT.",Jl. M.Panjaitan Dalam 32,31,5,36,Jasa
193,Photo Pantai,Jl. Merdeka Timur 2 G,5,8,13,Jasa
194,"Prima Hijau Lestari, PT.",Jl. Terusan Sulfat 28A Kav C2,26,1,27,Jasa
195,"Prima Karya Sarana Sejahtera, PT.",Jl. Tumanggung Suryo 40C-D Malang,0,0,0,Jasa
196,"Prime Line International, PT.",Jl. Mangun Sankoro 8,30,50,80,Jasa
197,"Prismas Jamintara , PT",Ruko Istana Dinoyo B7 Jl. MT. Haryono 1A Malang,70,8,78,Jasa
198,PT. Bank Mayapada Internasional,jl. A. Yani Ruko 50f Malang,9,4,13,Jasa
199,PT. Nayaka Era Husada,Jl. Ciliwung 17 Malang,6,6,12,Jasa
200,PT. Outsourcing Indonesia,Ruko Soekarno Hatta kav 07 No.02 Malang,15,6,21,jasa
201,Ratmoko Suroso,Jl. L. A. Sucipto 282,20,13,33,Jasa
202,"Rodem Apparel, PT.",Jl. D. Paniai Terusan H6-C16,3,4,7,Jasa
203,RSIA Melati Husada,Jl. Kawi 32,0,0,0,Jasa
204,"Ryanta Mitra Karina , PT.",Jl. K. H. Hasyim Ashari 20,0,0,0,Jasa
205,"Sandhy Putra Makmur, PT.",Jl. D. Toba C/8,0,0,0,Jasa
206,"Sawakarya Insan Mandiri, PT.",Jl. Ters. Sulfat 28 Kav. C-2,51,18,69,Jasa
207,"Sinar Kencana Utama Mandiri, PT.",Perum Istana Dieng Utara I/38A,4,0,4,Jasa
208,Sun Family Karaoke,Jl. Puncak Mandala 26 (tidar),6,2,8,Jasa
209,Sunrise Language Center (SLC),Jl. Rukem 11A,5,4,9,Jasa
210,"Surabaya Insan Mandiri, PT.",Jl. Terusan Sulfat 28A,32,6,38,Jasa
211,"Surya Indah, UD.",Jl. C. Trowulan 5,14,20,34,Jasa
212,Tiga Pilar Enta Lispro,Jl. Ki Ageng Gribig V/25,8,5,13,Jasa
213,"Vivace Putra Utama,CV",Jl. D.Toba B-6,17,6,23,Jasa
214,"Vivace,CV",Jl. Soekarno Hatta B 5-6,22,6,28,Jasa
215,"Wachidi Development, PT",Jl. Andong 3,15,5,20,Jasa
216,"Wiratanu Persada Tama,PT",Jl.Simp.Barito I/1,27,1,28,Jasa
217,Yay. Putra Cendekia,Jl. D. Toba E VI/16-18,3,13,16,Jasa
218,Yayasan Nusantara,Jl. Danau Toba,6,17,23,Jasa
219,Yayasan Pendidikan Phylia,Jl. Tambora 11A,2,7,9,Jasa
220,Yayasan Pinta,Jl. Lembah Dieng Blok C1-6 Malang,10,5,15,Jasa
221,"Sumber Urip, PT.",Jl. Kebalen Wetan 23A,19,0,19,Jasa Angkutan
222,"Sinar Mentari Gemilang, PT.",Jl. Halmahera 90A,11,3,14,Jasa Angkutan BBM
223,AJB Bumi Putra 1912,Jl. J. A. Suprapto 83,22,0,22,Jasa Asuransi
224,"Franki File Indonesia, PT.",Jl. Tenaga Baru II/10,11,19,30,Jasa Bordir
225,Cabang Perum Pegadaian Malang,Jl. A. I. Suryani 2,19,10,29,Jasa Gadai
226,Pegadaian Cab. Blimbing,Jl. Borobudur 10,20,11,31,Jasa Gadai
227,Pegadaian Cab. Landungsari,Ruko Landungsari Indah Kav. 7,6,5,11,Jasa Gadai
228,Pegadaian Cab. Tlogomas,Jl. MT. Haryono 104,14,4,18,Jasa Gadai
229,Perum Pegadaian Cab. Kota Lama,Jl. Halmahera 09,17,8,25,Jasa Gadai
230,Perum Pegadaian Cab. Syariah,Jl. Tlogomas 11,2,3,5,Jasa Gadai
